frame,timestamp,person_id,x,y,z
-1,2025/11/28-20:22:4:817,ZakariYoung,-1857.734987,-796.495658,13.401487
-1,2025/11/28-20:22:4:817,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:953,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:953,Amelia,-1968.90687,-877.18665,10.0
-1,2025/11/28-20:22:4:953,ZakariYoung,-1872.844492,-796.956735,17.36712
-1,2025/11/28-20:22:4:953,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:965,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:965,Amelia,-1971.075948,-877.34404,10.0
-1,2025/11/28-20:22:4:965,ZakariYoung,-1874.238772,-796.999411,17.765931
-1,2025/11/28-20:22:4:965,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:4:989,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:4:989,Amelia,-1975.266443,-877.650483,10.0
-1,2025/11/28-20:22:4:989,ZakariYoung,-1876.951572,-797.082597,18.489735
-1,2025/11/28-20:22:4:989,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:75,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:75,Amelia,-1989.78234,-878.739668,10.0
-1,2025/11/28-20:22:5:75,ZakariYoung,-1886.551303,-797.379285,19.985185
-1,2025/11/28-20:22:5:75,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:348,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:348,Amelia,-2031.474801,-882.235125,10.0
-1,2025/11/28-20:22:5:348,ZakariYoung,-1916.210605,-798.34279,15.939869
-1,2025/11/28-20:22:5:348,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:482,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:482,Amelia,-2048.633698,-883.960038,10.0
-1,2025/11/28-20:22:5:482,ZakariYoung,-1929.699745,-798.825118,15.330219
-1,2025/11/28-20:22:5:482,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:494,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:494,Amelia,-2050.018049,-884.113021,10.0
-1,2025/11/28-20:22:5:494,ZakariYoung,-1930.835102,-798.867721,15.592295
-1,2025/11/28-20:22:5:494,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:523,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:523,Amelia,-2053.410238,-884.514756,10.0
-1,2025/11/28-20:22:5:523,ZakariYoung,-1933.614986,-798.973515,16.494445
-1,2025/11/28-20:22:5:523,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:604,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:604,Amelia,-2062.460583,-885.780043,10.0
-1,2025/11/28-20:22:5:604,ZakariYoung,-1941.024718,-799.265689,19.927481
-1,2025/11/28-20:22:5:604,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:689,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:689,Amelia,-2071.667949,-887.365595,10.0
-1,2025/11/28-20:22:5:689,ZakariYoung,-1948.591049,-799.578666,22.773011
-1,2025/11/28-20:22:5:689,Keiji,-2420.0,-460.0,10.0
-1,2025/11/28-20:22:5:977,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:5:977,Amelia,-2099.502816,-894.075621,10.0
-1,2025/11/28-20:22:5:977,ZakariYoung,-1972.370626,-800.634217,15.017221
-1,2025/11/28-20:22:5:977,Keiji,-2420.145656,-459.461074,10.0
-1,2025/11/28-20:22:6:145,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:145,Amelia,-2114.061494,-898.727948,10.0
-1,2025/11/28-20:22:6:145,ZakariYoung,-1986.108192,-801.260226,16.80376
-1,2025/11/28-20:22:6:145,Keiji,-2420.583413,-457.84137,10.0
-1,2025/11/28-20:22:6:158,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:158,Amelia,-2115.236212,-899.135037,10.0
-1,2025/11/28-20:22:6:158,ZakariYoung,-1987.282501,-801.313129,16.916972
-1,2025/11/28-20:22:6:158,Keiji,-2420.632079,-457.661308,10.0
-1,2025/11/28-20:22:6:187,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:187,Amelia,-2117.619083,-899.974253,10.0
-1,2025/11/28-20:22:6:187,ZakariYoung,-1989.701451,-801.421559,16.998677
-1,2025/11/28-20:22:6:187,Keiji,-2420.737016,-457.27304,10.0
-1,2025/11/28-20:22:6:273,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:273,Amelia,-2124.435748,-902.467913,10.0
-1,2025/11/28-20:22:6:273,ZakariYoung,-1996.92702,-801.740041,16.56536
-1,2025/11/28-20:22:6:273,Keiji,-2421.083345,-455.991622,10.0
-1,2025/11/28-20:22:6:547,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:547,Amelia,-2144.796941,-910.492079,10.0
-1,2025/11/28-20:22:6:547,ZakariYoung,-2021.620742,-804.981146,12.954406
-1,2025/11/28-20:22:6:547,Keiji,-2422.512914,-450.702218,10.0
-1,2025/11/28-20:22:6:690,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:690,Amelia,-2154.691969,-914.458254,10.0
-1,2025/11/28-20:22:6:690,ZakariYoung,-2035.053638,-809.069914,12.0
-1,2025/11/28-20:22:6:690,Keiji,-2423.396035,-447.43467,10.0
-1,2025/11/28-20:22:6:702,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:702,Amelia,-2155.540356,-914.792027,10.0
-1,2025/11/28-20:22:6:702,ZakariYoung,-2036.238317,-809.480872,12.0
-1,2025/11/28-20:22:6:702,Keiji,-2423.476324,-447.1376,10.0
-1,2025/11/28-20:22:6:730,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:730,Amelia,-2157.433994,-915.531129,10.0
-1,2025/11/28-20:22:6:730,ZakariYoung,-2038.898038,-810.425949,12.0
-1,2025/11/28-20:22:6:730,Keiji,-2423.657754,-446.466311,10.0
-1,2025/11/28-20:22:6:817,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:817,Amelia,-2163.232199,-917.729174,10.0
-1,2025/11/28-20:22:6:817,ZakariYoung,-2047.152286,-813.514378,12.0
-1,2025/11/28-20:22:6:817,Keiji,-2424.22973,-444.349998,10.0
-1,2025/11/28-20:22:6:904,koko,-1829.0,-439.0,10.0
-1,2025/11/28-20:22:6:904,Amelia,-2168.946688,-919.76499,10.0
-1,2025/11/28-20:22:6:904,ZakariYoung,-2055.39358,-816.734087,12.0
-1,2025/11/28-20:22:6:904,Keiji,-2424.811056,-442.199091,10.0
